JBRJ Arboretum Dendrometric Data Dictionary,,,,,,,,
"Draft for raw_data.csv, pre_processed_data.csv, and processed_data.csv",,,,,,,,
,,,,,,,,
variable,datasets,description,data_type,unit,source_or_derivation,allowed_values_or_range,missing_values,notes
seção,raw_data.csv,Arboretum section number associated with the plant location.,integer,none,Recorded during the living-collection inventory.,Positive section number,35 missing records in raw data,Portuguese source-field name; retained as originally recorded.
canteiro,raw_data.csv,Planting-bed code or named garden area within the arboretum section.,character,none,Recorded during the living-collection inventory.,Letter code or named garden area,1 missing record in raw data,Combined with seção to derive sec_cant.
tombo,raw_data.csv; pre_processed_data.csv; processed_data.csv,Institutional accession or individual identifier used in the JBRJ living-collection records.,integer identifier,none,Institutional record.,1–9180 in the deposited datasets,No missing values,Repeated rows in raw_data.csv may represent multiple stems of the same individual; unique in processed datasets.
taxon,raw_data.csv,"Taxonomic identification as recorded in the original institutional dataset, including family and, when available, genus, species, and author citation.",character,none,Institutional record.,Free text,No missing values,"Split into family, genus, species, and name during preprocessing."
habito,raw_data.csv,"Original growth-habit description, recorded in Portuguese.",character,none,Institutional record and field classification.,Free-text categorical values,1343 missing records in raw data,Standardized as habito_pad during preprocessing.
altura,raw_data.csv; pre_processed_data.csv; processed_data.csv,"Measured total plant height. For arborescent monocots, Cycadaceae, and Zamiaceae, the recorded value corresponds to stem height.",numeric,m,Measured with a Bosch GLM 120 C laser distance meter.,Positive values; 1.30–44.35 in processed datasets,3313 missing records in raw data; no missing values in processed datasets,"For multi-stemmed plants, the record with the maximum measured height was retained."
cap,raw_data.csv,Circumference at breast height measured at the standard or morphologically adjusted measurement point.,numeric,cm,Field measurement with a measuring tape.,Positive values; 32.0–705.4 in raw data,3313 missing records in raw data,Used to check DBH consistency through DBH = CBH / pi.
dap,raw_data.csv; pre_processed_data.csv; processed_data.csv,"Diameter at breast height. For multi-stemmed plants, processed datasets contain equivalent DBH calculated from all recorded stems.",numeric,cm,Derived from circumference as CBH / pi; equivalent DBH = sqrt(sum(DBH_i^2)) for multiple stems.,At least 10 cm under the census inclusion criterion; 10.19–224.54 in processed datasets,3313 missing records in raw data; no missing values in processed datasets,Portuguese abbreviation corresponding to DBH.
dia,raw_data.csv,Day of dendrometric measurement.,integer,calendar day,Field record.,1–31 where recorded,3312 missing records in raw data,"Together with mês and ano, identifies the measurement date."
mês,raw_data.csv,Month of dendrometric measurement.,integer,calendar month,Field record.,1–12,3312 missing records in raw data,Portuguese source-field name.
ano,raw_data.csv,Year of dendrometric measurement.,integer,calendar year,Field record.,2021 or 2022,3312 missing records in raw data,Portuguese source-field name.
latitude,raw_data.csv,Latitude of the plant location as recorded during the previous living-collection inventory.,numeric stored with locale-specific formatting,not specified,Existing institutional georeferencing record.,Negative latitude values,3312 missing records in raw data,Coordinate reference system and datum are not documented in the repository.
longitude,raw_data.csv,Longitude of the plant location as recorded during the previous living-collection inventory.,numeric stored with locale-specific formatting,not specified,Existing institutional georeferencing record.,Negative longitude values,3312 missing records in raw data,Coordinate reference system and datum are not documented in the repository.
densidade,raw_data.csv; pre_processed_data.csv; processed_data.csv,"Wood density assigned to the taxon, primarily from the Global Wood Density Database.",numeric,g cm^-3,"Matched from external wood-density information, primarily the Global Wood Density Database.",Positive values; 0.15–1.23 in processed datasets,2883 missing records in raw data; no missing values in processed datasets,Wood-density values are associated with taxa rather than measured directly for each individual.
sec_cant,pre_processed_data.csv; processed_data.csv,Combined identifier of arboretum section and planting bed.,character identifier,none,"paste0(round(seção, 0), canteiro)",214 unique values in processed datasets,No missing values,"Examples: 01A, 11C, 32F; leading-zero convention should be checked."
family,pre_processed_data.csv; processed_data.csv,Botanical family assigned to the individual.,character,none,Parsed from taxon; checked and updated with GBIF during taxonomic processing for processed_data.csv.,Controlled taxonomic names,No missing values in pre_processed_data.csv; 157 missing values in processed_data.csv,Uppercase in pre_processed_data.csv; title case in processed_data.csv.
genus,pre_processed_data.csv; processed_data.csv,Botanical genus assigned to the individual when identification was available.,character,none,Parsed from taxon; checked and updated with GBIF for processed_data.csv.,Controlled taxonomic names,334 missing values in both processed datasets,Missing when identification did not reach genus level.
species,pre_processed_data.csv; processed_data.csv,Specific epithet assigned to the individual when identification was available.,character,none,Parsed from taxon; checked and updated with GBIF for processed_data.csv.,Lowercase specific epithet,580 missing values in pre_processed_data.csv; 615 in processed_data.csv,Does not include genus or author citation.
name,pre_processed_data.csv; processed_data.csv,Scientific name combining genus and specific epithet when species-level identification was available.,character,none,Initially constructed from genus and species; replaced by the GBIF-matched name in processed_data.csv.,Binomial scientific name,No missing values in pre_processed_data.csv; 615 missing values in processed_data.csv,"In pre_processed_data.csv, incomplete identifications may appear with the literal text NA."
habito_pad,pre_processed_data.csv; processed_data.csv,Standardized growth-habit category used in the analyses.,categorical character,none,Recoded from habito and checked using taxonomic sources and field-based interpretation of plant architecture.,Tree; Arborescent; Shrub; Shrub/tree; Shrub/climber; Clumping; Herb,No missing values,Arecaceae and specified arborescent families with DBH above the inclusion threshold were classified as Arborescent.
n_caule,pre_processed_data.csv; processed_data.csv,Number of stems recorded for the individual below 1.30 m above ground level.,integer,stems per individual,Number of raw-data rows associated with the same tombo after filtering.,1–42,No missing values,A value of 1 denotes a single-stemmed individual.
