"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","n_caule","multicaule","multicaule_l","rel_hd","area_basal"
"1A",1,"LEGUMINOSAE","Plathymenia","reticulata","Plathymenia reticulata","Tree",20.66,78.05,0.52,1,0,"No",0.264702114029468,0.478449049527998
"1A",4,"MORACEAE","Ficus","religiosa","Ficus religiosa","Tree",23.47,152.79,0.44,1,0,"No",0.153609529419465,1.83349505570499
"1A",5,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",13.74,32.79,0.54,1,0,"No",0.419030192131748,0.0844447617454138
"1A",6,"LEGUMINOSAE","Haematoxylum","campechianum","Haematoxylum campechianum","Tree",7.16,11.62,0.88,1,0,"No",0.61617900172117,0.0106047915773842
"1A",7,"LEGUMINOSAE","Erythrophleum","suaveolens","Erythrophleum suaveolens","Tree",21.44,71.33,0.58,1,0,"No",0.300574793214636,0.399608142948333
"1A",8,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",18.46,72.57,0.53,1,0,"No",0.254375086123743,0.413622473616732
"1A",9,"LEGUMINOSAE","Brownea","longipedicellata","Brownea longipedicellata","Tree",4.3,22.7930998330635,1.21,3,1,"Yes",0.188653585141695,0.0408034294998325
"1A",10,"LEGUMINOSAE","Browneopsis","macrofoliolata","Browneopsis macrofoliolata","Tree",8.84,36.61,0.72,1,0,"No",0.241464080852226,0.105266295375611
"1A",14,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",19.6,37.88,0.54,1,0,"No",0.517423442449842,0.112696342642928
"1A",15,"LYTHRACEAE","Lagerstroemia","indica","Lagerstroemia indica","Tree",20.38,109.53,0.59,1,0,"No",0.186067743997078,0.942228110146812
"1A",17,"LEGUMINOSAE","Chamaecrista","ensiformis","Chamaecrista ensiformis","Tree",11.69,27.7281030725147,0.9,2,1,"Yes",0.42159393195518,0.0603851571512352
"1A",19,"CLUSIACEAE","Garcinia","cochinchinensis","Garcinia cochinchinensis","Tree",14.33,52.93,0.74,1,0,"No",0.270734932930285,0.220035963506202
"1A",20,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",23.32,35.68,0.54,1,0,"No",0.653587443946188,0.0999860870850348
"1A",21,"LEGUMINOSAE","Libidibia","ferrea","Libidibia ferrea","Tree",17.02,40.84,1.17,1,0,"No",0.416748285994123,0.130996999496032
"1A",22,"LEGUMINOSAE","Luetzelburgia","trialata","Luetzelburgia trialata","Tree",7.95,32.8039540299641,0.67,2,1,"Yes",0.242348833702737,0.0845166492393096
"1A",27,"LAURACEAE","Brownea","grandiceps","Brownea grandiceps","Tree",7.56,17.25,0.72,1,0,"No",0.438260869565217,0.0233705040995953
"1A",28,"ARECACEAE","Allagoptera","caudescens","Allagoptera caudescens","Arborescent",13.42,19.13,0.54,1,0,"No",0.701515943544171,0.0287421877142624
"1A",30,"STRELITZIACEAE","Ravenala","madagascariensis","Ravenala madagascariensis","Arborescent",10.65,101.263849916937,0.62,15,1,"Yes",0.105170798944893,0.805376124422285
"1A",32,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30.4,50.93,0.52,1,0,"No",0.596897702729236,0.203721672856111
"1A",33,"MORACEAE","Ficus","clusiifolia","Ficus clusiifolia","Tree",18.19,122.23,0.41,1,0,"No",0.148817802503477,1.17339843565003
"1A",37,"LEGUMINOSAE","Senna","siamea","Senna siamea","Tree",16.81,79.55,0.65,1,0,"No",0.211313639220616,0.497015862110714
"1A",40,"LEGUMINOSAE","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",11.04,43.2376560419272,0.72,3,1,"Yes",0.255332990051418,0.14682978609409
"1A",43,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",13.4,55.26,0.52,1,0,"No",0.242490047050308,0.239834492466629
"1A",44,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.62,58.89,0.52,1,0,"No",0.435048395313296,0.27237860419434
"1A",45,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",10.9,48.64,0.52,1,0,"No",0.224095394736842,0.185813393071459
"1A",46,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",24.85,56.66,0.52,1,0,"No",0.438581009530533,0.252140739209271
"1A",48,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.98,69.33,0.52,1,0,"No",0.374729554305495,0.377513321815637
"1A",49,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.27,67.45,0.52,1,0,"No",0.374647887323944,0.35731709078721
"1A",50,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.26,66.53,0.52,1,0,"No",0.334585901097249,0.347636147361467
"1A",52,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.72,66.84,0.52,1,0,"No",0.384799521244764,0.350883352506089
"1A",53,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",11.71,49.15,0.52,1,0,"No",0.2382502543235,0.189730401477789
"1A",54,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",24.02,69.07,0.52,1,0,"No",0.34776313884465,0.374687145064467
"1A",56,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",25.13,68.09,0.52,1,0,"No",0.369070348068733,0.364130074279491
"1A",57,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,67.51,0.52,1,0,"No",0.444378610576211,0.357953074804003
"1A",58,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",26.7,68.44,0.52,1,0,"No",0.390122735242548,0.367883138673194
"1A",59,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,70.35,0.52,1,0,"No",0.426439232409382,0.388703172192899
"1B",62,"RUBIACEAE","Simira","alba","Simira alba","Tree",16.94,36.2387982692583,0.68,2,1,"Yes",0.467454794558415,0.103142453078078
"1B",63,"ARECACEAE","Elaeis","guineensis","Elaeis guineensis","Arborescent",21.94,38.04,0.54,1,0,"No",0.576761303890642,0.11365038149997
"1B",64,"ARECACEAE","Euterpe","oleracea","Euterpe oleracea","Arborescent",10,47.7391945889329,0.39,19,1,"Yes",0.209471485350912,0.17899465261064
