"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"1A",1,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Tree",20.66,78.05,0.52,0.47844905,1,0,"No",0.264702114
"1A",4,"Moraceae","Ficus","religiosa","Ficus religiosa","Tree",23.47,152.79,0.44,1.833495056,1,0,"No",0.153609529
"1A",5,"Arecaceae","Elaeis","guineensis","Elaeis guineensis","Palm",13.74,32.79,0.54,0.084444762,1,0,"No",0.419030192
"1A",6,"Fabaceae","Haematoxylum","campechianum","Haematoxylum campechianum","Tree",7.16,11.62,0.88,0.010604792,1,0,"No",0.616179002
"1A",7,"Fabaceae","Erythrophleum","suaveolens","Erythrophleum suaveolens","Tree",21.44,71.33,0.58,0.399608143,1,0,"No",0.300574793
"1A",8,"Meliaceae","Carapa","guianensis","Carapa guianensis","Tree",18.46,72.57,0.53,0.413622474,1,0,"No",0.254375086
"1A",9,"Fabaceae","Brownea","longipedicellata","Brownea longipedicellata","Tree",4.3,22.79309983,1.21,0.040803429,3,1,"Yes",0.188653585
"1A",10,"Fabaceae","Browneopsis","macrofoliolata","Browneopsis macrofoliolata","Tree",8.84,36.61,0.72,0.105266295,1,0,"No",0.241464081
"1A",14,"Arecaceae","Elaeis","guineensis","Elaeis guineensis","Palm",19.6,37.88,0.54,0.112696343,1,0,"No",0.517423442
"1A",15,"Lythraceae","Lagerstroemia","indica","Lagerstroemia indica","Tree",20.38,109.53,0.59,0.94222811,1,0,"No",0.186067744
"1A",17,"Fabaceae","Chamaecrista","ensiformis","Chamaecrista ensiformis","Tree",11.69,27.72810307,0.9,0.060385157,2,1,"Yes",0.421593932
"1A",19,"Clusiaceae","Garcinia","cochinchinensis","Garcinia cochinchinensis","Tree",14.33,52.93,0.74,0.220035964,1,0,"No",0.270734933
"1A",20,"Arecaceae","Elaeis","guineensis","Elaeis guineensis","Palm",23.32,35.68,0.54,0.099986087,1,0,"No",0.653587444
"1A",21,"Fabaceae","Libidibia","ferrea","Libidibia ferrea","Tree",17.02,40.84,1.17,0.130996999,1,0,"No",0.416748286
"1A",22,"Fabaceae","Luetzelburgia","trialata","Luetzelburgia trialata","Tree",7.95,32.80395403,0.67,0.084516649,2,1,"Yes",0.242348834
"1A",27,"Fabaceae","Brownea","grandiceps","Brownea grandiceps","Tree",7.56,17.25,0.72,0.023370504,1,0,"No",0.43826087
"1A",28,"Arecaceae","Allagoptera","caudescens","Allagoptera caudescens","Palm",13.42,19.13,0.54,0.028742188,1,0,"No",0.701515944
"1A",30,"Strelitziaceae","Ravenala","madagascariensis","Ravenala madagascariensis","Arborescent",10.65,101.2638499,0.62,0.805376124,15,1,"Yes",0.105170799
"1A",32,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30.4,50.93,0.52,0.203721673,1,0,"No",0.596897703
"1A",33,"Moraceae","Ficus","clusiifolia","Ficus clusiifolia","Tree",18.19,122.23,0.41,1.173398436,1,0,"No",0.148817803
"1A",37,"Fabaceae","Senna","siamea","Senna siamea","Tree",16.81,79.55,0.65,0.497015862,1,0,"No",0.211313639
