"seção","canteiro","tombo","taxon","habito","altura","cap","dap","dia","mês","ano","latitude","longitude","densidade"
"1","A",1,"LEGUMINOSAE Plathymenia reticulata Benth.","árvore",20.66,245.2,78.05,19,4,2021,"-22.9701655485355","-43.2229019939609",0.52
"1","A",4,"MORACEAE Ficus religiosa L.","árvore",23.47,480,152.79,19,4,2021,"-22.9700884422923","-43.2228911335244",0.44
"1","A",5,"ARECACEAE Elaeis guineensis Jacq.","palmeira",13.74,103,32.79,19,4,2021,"-22.9700116309039","-43.2228187802716",0.54
"1","A",6,"LEGUMINOSAE Haematoxylum campechianum L.","árvore",7.16,36.5,11.62,19,4,2021,"-22.969992231248","-43.2228773728879",0.88
"1","A",7,"LEGUMINOSAE Erythrophleum suaveolens (Guill. & Perr.) Brenan","árvore",21.44,224.1,71.33,19,4,2021,"-22.9699705651797","-43.2229069914529",0.58
"1","A",8,"MELIACEAE Carapa guianensis Aubl.","árvore",18.46,228,72.57,19,4,2021,"-22.9699676333073","-43.2227896692792",0.53
"1","A",9,"LEGUMINOSAE Brownea longipedicellata Huber","árvore",4.3,52.7,16.77,19,4,2021,"-22.9699215968257","-43.2228082547341",1.21
"1","A",9,"LEGUMINOSAE Brownea longipedicellata Huber","árvore",4.3,34.6,11.01,19,4,2021,"-22.9699215968257","-43.2228082547341",1.21
"1","A",9,"LEGUMINOSAE Brownea longipedicellata Huber","árvore",4.3,34,10.82,19,4,2021,"-22.9699215968257","-43.2228082547341",1.21
"1","A",10,"LEGUMINOSAE Browneopsis macrofoliolata Klitg.","árvore",8.84,115,36.61,19,4,2021,"-22.9699154675437","-43.2228680683781",0.72
"1","A",14,"ARECACEAE Elaeis guineensis Jacq.","palmeira",19.6,119,37.88,19,4,2021,"-22.9698764999342","-43.2228252675041",0.54
"1","A",15,"LYTHRACEAE Lagerstroemia indica L.","árvore",20.38,344.1,109.53,19,4,2021,"-22.9698789770273","-43.2228973449043",0.59
"1","A",17,"LEGUMINOSAE Chamaecrista ensiformis (Vell.) H.S.Irwin & Barneby","árvore",11.69,65,20.69,19,4,2021,"-22.9698032697182","-43.2229128459147",0.9
"1","A",17,"LEGUMINOSAE Chamaecrista ensiformis (Vell.) H.S.Irwin & Barneby","árvore",11.69,58,18.46,19,4,2021,"-22.9698032697182","-43.2229128459147",0.9
